Date,BuyHold
2023-02-01,9999.999
2023-02-02,10768.211
2023-02-03,10548.615
2023-02-06,10501.8
2023-02-07,10799.902
2023-02-08,10583.821
2023-02-09,10474.401
2023-02-10,10269.854
2023-02-13,10438.262
2023-02-14,10636.054
2023-02-15,10700.227
2023-02-16,10390.34
2023-02-17,10337.942
2023-02-21,10051.736
2023-02-22,10089.121
2023-02-23,10318.62
2023-02-24,10122.1045
2023-02-27,10244.783
2023-02-28,10260.481
2023-03-01,10125.586
2023-03-02,10140.599
2023-03-03,10469.32
2023-03-06,10453.722
2023-03-07,10326.039
2023-03-08,10366.808
2023-03-09,10133.484
2023-03-10,9998.72
2023-03-13,10099.453
2023-03-14,10499.594
2023-03-15,10602.18
2023-03-16,10988.887
2023-03-17,10896.609
2023-03-20,10913.922
2023-03-21,11207.06
2023-03-22,11082.146
2023-03-23,11254.709
2023-03-24,11247.807
2023-03-27,11125.602
2023-03-28,11032.639
2023-03-29,11258.931
2023-03-30,11372.771
2023-03-31,11640.8125
2023-04-03,11567.6875
2023-04-04,11551.353
2023-04-05,11349.737
2023-04-06,11519.083
2023-04-10,11474.067
2023-04-11,11360.309
2023-04-12,11224.866
2023-04-13,11515.607
2023-04-14,11536.852
2023-04-17,11522.167
2023-04-18,11519.864
2023-04-19,11522.635
2023-04-20,11289.31
2023-04-21,11331.597
2023-04-24,11283.705
2023-04-25,11034.427
2023-04-26,11189.668
2023-04-27,11751.155
2023-04-28,11799.038
2023-05-01,11826.697
2023-05-02,11713.756
2023-05-03,11652.77
2023-05-04,11592.199
2023-05-05,11872.643
2023-05-08,11944.553
2023-05-09,11863.517
2023-05-10,12036.218
2023-05-11,12153.436
2023-05-12,12058.005
2023-05-15,12130.502
2023-05-16,12234.6875
2023-05-17,12462.816
2023-05-18,12742.92
2023-05-19,12702.23
2023-05-22,12812.375
2023-05-23,12644.612
2023-05-24,12629.872
2023-05-25,13275.221
2023-05-26,13645.986
2023-05-30,13809.435
2023-05-31,13653.869
2023-06-01,13981.447
2023-06-02,14060.125
2023-06-05,14089.66
2023-06-06,14100.817
